,"(mm) Precipitation (CHIRPS) at Hambantota, 2007-01-01 to 2025-12-31"
"2008-10-04",0.9392
"2008-10-05",0.0697
"2008-10-06",0
"2008-10-07",2.5285
"2008-10-08",6.6467
"2008-10-09",2.4959
"2008-10-10",5.4807
"2008-10-11",12.2722
"2008-10-12",22.6101
"2008-10-13",0.6304
"2008-10-14",2.705
"2008-10-15",0.0427
"2008-10-16",4.4409
"2008-10-17",3.0391
"2008-10-18",20.6052
"2008-10-19",16.4611
"2008-10-20",31.9764
"2008-10-21",6.3283
"2008-10-22",0
"2008-10-23",0
"2008-10-24",11.6145
"2008-10-25",24.136
"2008-10-26",0.1892
"2008-10-27",2.1551
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",3.038
"2008-11-01",0.0813
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",5.8505
"2008-11-08",3.8192
"2008-11-09",6.5135
"2008-11-10",25.7088
"2008-11-11",12.7436
"2008-11-12",9.2607
"2008-11-13",7.8962
"2008-11-14",6.1473
"2008-11-15",0.4204
"2008-11-16",0
"2008-11-17",0.1039
"2008-11-18",1.8969
"2008-11-19",0.0217
"2008-11-20",20.9167
"2008-11-21",14.4296
"2008-11-22",19.8127
"2008-11-23",5.3831
"2008-11-24",30.3115
"2008-11-25",3.8934
"2008-11-26",19.3778
"2008-11-27",0.0548
"2008-11-28",25.9781
"2008-11-29",24.534
"2008-11-30",7.8241
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0.173
"2008-12-05",9.8878
"2008-12-06",7.1325
"2008-12-07",7.4719
"2008-12-08",26.3389
"2008-12-09",0
"2008-12-10",26.5017
"2008-12-11",7.5465
"2008-12-12",0
"2008-12-13",0.0032
"2008-12-14",0
"2008-12-15",7.0753
"2008-12-16",1.138
"2008-12-17",16.6814
"2008-12-18",10.9154
"2008-12-19",2.6082
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0
"2008-12-23",0
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0.4608
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",13.2909
"2009-01-07",0.0214
"2009-01-08",1.363
"2009-01-09",25.1595
"2009-01-10",3.122
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0.6113
"2009-01-22",0
"2009-01-23",0
"2009-01-24",0.057
"2009-01-25",1.6041
"2009-01-26",0
"2009-01-27",0.1779
"2009-01-28",0.4612
"2009-01-29",0
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0.2592
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0.3833
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0
"2009-02-20",0.0002
"2009-02-21",0.7403
"2009-02-22",3.0762
"2009-02-23",6.6683
"2009-02-24",1.9324
"2009-02-25",0
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
