,"(deg C) Mean Temperature (ERA5) at Hambantota, 2007-01-01 to 2025-12-31"
"2008-05-13",27.1308
"2008-05-14",26.9053
"2008-05-15",27.0631
"2008-05-16",27.4817
"2008-05-17",27.7025
"2008-05-18",28.0606
"2008-05-19",27.7107
"2008-05-20",27.4738
"2008-05-21",27.7526
"2008-05-22",27.3414
"2008-05-23",27.1675
"2008-05-24",27.2209
"2008-05-25",27.1643
"2008-05-26",27.2202
"2008-05-27",26.2353
"2008-05-28",26.9075
"2008-05-29",26.1694
"2008-05-30",27.0528
"2008-05-31",26.6532
"2008-06-01",25.6147
"2008-06-02",25.3691
"2008-06-03",25.2231
"2008-06-04",26.7599
"2008-06-05",27.1206
"2008-06-06",27.4054
"2008-06-07",26.786
"2008-06-08",26.9012
"2008-06-09",26.4043
"2008-06-10",27.1171
"2008-06-11",27.1197
"2008-06-12",26.8483
"2008-06-13",27.3263
"2008-06-14",27.4923
"2008-06-15",27.0818
"2008-06-16",27.5896
"2008-06-17",27.4715
"2008-06-18",26.7315
"2008-06-19",27.5232
"2008-06-20",27.4343
"2008-06-21",26.7942
"2008-06-22",26.3441
"2008-06-23",26.0991
"2008-06-24",26.9252
"2008-06-25",26.7604
"2008-06-26",27.0795
"2008-06-27",27.493
"2008-06-28",27.5166
"2008-06-29",27.4936
"2008-06-30",27.5599
"2008-07-01",26.0416
"2008-07-02",27.7308
"2008-07-03",27.5357
"2008-07-04",27.36
"2008-07-05",27.3943
"2008-07-06",26.9849
"2008-07-07",26.965
"2008-07-08",27.2982
"2008-07-09",27.792
"2008-07-10",26.9742
"2008-07-11",26.4811
"2008-07-12",27.0502
"2008-07-13",26.9796
"2008-07-14",26.5181
"2008-07-15",25.3904
"2008-07-16",26.4576
"2008-07-17",26.7428
"2008-07-18",26.2988
"2008-07-19",26.3214
"2008-07-20",26.7419
"2008-07-21",27.0462
"2008-07-22",26.9385
"2008-07-23",26.2967
"2008-07-24",26.8534
"2008-07-25",27.5224
"2008-07-26",26.9965
"2008-07-27",26.2376
"2008-07-28",25.6848
"2008-07-29",26.3336
"2008-07-30",26.5614
"2008-07-31",26.8558
"2008-08-01",27.0265
"2008-08-02",27.5629
"2008-08-03",26.7807
"2008-08-04",27.3413
"2008-08-05",26.935
"2008-08-06",27.4639
"2008-08-07",26.9983
"2008-08-08",27.3304
"2008-08-09",27.1425
"2008-08-10",27.5667
"2008-08-11",27.2283
"2008-08-12",26.5236
"2008-08-13",27.1672
"2008-08-14",26.8774
"2008-08-15",27.5129
"2008-08-16",27.3422
"2008-08-17",26.7096
"2008-08-18",27.2197
"2008-08-19",27.2846
"2008-08-20",27.2217
"2008-08-21",26.5103
"2008-08-22",27.3926
"2008-08-23",26.8945
"2008-08-24",26.6033
"2008-08-25",26.3853
"2008-08-26",25.681
"2008-08-27",26.2436
"2008-08-28",25.7696
"2008-08-29",24.9586
"2008-08-30",24.5121
"2008-08-31",25.0349
"2008-09-01",26.6371
"2008-09-02",27.0222
"2008-09-03",27.1099
"2008-09-04",26.0166
"2008-09-05",25.9801
