,"(deg C) Mean Temperature (ERA5) at Ratnapura, 2007-01-01 to 2025-12-31"
"2008-09-28",24.3363
"2008-09-29",23.6305
"2008-09-30",24.1787
"2008-10-01",24.039
"2008-10-02",23.8817
"2008-10-03",24.5233
"2008-10-04",23.8314
"2008-10-05",24.2995
"2008-10-06",24.3325
"2008-10-07",23.7225
"2008-10-08",23.3669
"2008-10-09",23.5402
"2008-10-10",24.3235
"2008-10-11",23.5865
"2008-10-12",23.3625
"2008-10-13",23.6368
"2008-10-14",23.745
"2008-10-15",24.5012
"2008-10-16",23.9697
"2008-10-17",24.2119
"2008-10-18",23.7761
"2008-10-19",23.9171
"2008-10-20",23.412
"2008-10-21",22.7892
"2008-10-22",23.0372
"2008-10-23",23.7812
"2008-10-24",22.7884
"2008-10-25",23.811
"2008-10-26",23.5963
"2008-10-27",23.8847
"2008-10-28",24.2733
"2008-10-29",23.9911
"2008-10-30",23.9423
"2008-10-31",23.3404
"2008-11-01",23.2894
"2008-11-02",23.1281
"2008-11-03",23.621
"2008-11-04",23.7669
"2008-11-05",23.7902
"2008-11-06",23.8452
"2008-11-07",24.7079
"2008-11-08",24.2922
"2008-11-09",23.9958
"2008-11-10",23.5487
"2008-11-11",23.5718
"2008-11-12",23.949
"2008-11-13",24.3891
"2008-11-14",24.0181
"2008-11-15",23.9217
"2008-11-16",23.6369
"2008-11-17",24.0719
"2008-11-18",24.0371
"2008-11-19",24.5981
"2008-11-20",23.2999
"2008-11-21",23.6007
"2008-11-22",23.6566
"2008-11-23",23.2689
"2008-11-24",23.1209
"2008-11-25",23.0242
"2008-11-26",23.5782
"2008-11-27",23.7631
"2008-11-28",24.5709
"2008-11-29",22.6094
"2008-11-30",23.8673
"2008-12-01",24.1471
"2008-12-02",23.4761
"2008-12-03",24.0637
"2008-12-04",23.6639
"2008-12-05",23.8913
"2008-12-06",23.0727
"2008-12-07",23.2807
"2008-12-08",24.1827
"2008-12-09",23.8839
"2008-12-10",23.9932
"2008-12-11",23.1818
"2008-12-12",23.4272
"2008-12-13",23.444
"2008-12-14",23.7614
"2008-12-15",23.7183
"2008-12-16",23.2169
"2008-12-17",23.3747
"2008-12-18",23.2793
"2008-12-19",23.7895
"2008-12-20",24.0434
"2008-12-21",23.3122
"2008-12-22",23.2862
"2008-12-23",23.8199
"2008-12-24",23.5453
"2008-12-25",23.8206
"2008-12-26",23.878
"2008-12-27",23.231
"2008-12-28",23.0887
"2008-12-29",23.4089
"2008-12-30",22.8439
"2008-12-31",22.502
"2009-01-01",22.2972
"2009-01-02",22.6342
"2009-01-03",22.7921
"2009-01-04",23.6217
"2009-01-05",23.9246
"2009-01-06",22.1334
"2009-01-07",24.1135
"2009-01-08",24.0126
"2009-01-09",22.8681
"2009-01-10",23.5709
"2009-01-11",23.5768
"2009-01-12",24.0438
"2009-01-13",23.8045
"2009-01-14",23.0592
"2009-01-15",23.2664
"2009-01-16",22.9968
"2009-01-17",23.2686
