,"(deg C) Mean Temperature (ERA5) at Polonnaruwa, 2007-01-01 to 2025-12-31"
"2007-11-18",25.3796
"2007-11-19",25.2093
"2007-11-20",26.3435
"2007-11-21",25.4063
"2007-11-22",25.6038
"2007-11-23",25.8554
"2007-11-24",25.6552
"2007-11-25",24.8466
"2007-11-26",25.7453
"2007-11-27",26.2452
"2007-11-28",26.0174
"2007-11-29",25.1824
"2007-11-30",25.1989
"2007-12-01",25.5543
"2007-12-02",25.1416
"2007-12-03",25.4232
"2007-12-04",25.2483
"2007-12-05",25.564
"2007-12-06",25.6612
"2007-12-07",24.9
"2007-12-08",25.1605
"2007-12-09",24.64
"2007-12-10",25.34
"2007-12-11",25.6809
"2007-12-12",24.1633
"2007-12-13",24.0896
"2007-12-14",25.4163
"2007-12-15",24.1897
"2007-12-16",24.3391
"2007-12-17",24.5143
"2007-12-18",25.4546
"2007-12-19",24.9283
"2007-12-20",24.9675
"2007-12-21",25.024
"2007-12-22",24.1889
"2007-12-23",24.111
"2007-12-24",24.1942
"2007-12-25",23.2133
"2007-12-26",23.6336
"2007-12-27",24.2832
"2007-12-28",24.1534
"2007-12-29",24.0151
"2007-12-30",24.3416
"2007-12-31",24.1056
"2008-01-01",24.3258
"2008-01-02",24.7033
"2008-01-03",24.1142
"2008-01-04",25.6953
"2008-01-05",24.524
"2008-01-06",24.5526
"2008-01-07",24.7383
"2008-01-08",24.5227
"2008-01-09",24.4219
"2008-01-10",24.9088
"2008-01-11",24.5232
"2008-01-12",24.496
"2008-01-13",24.1715
"2008-01-14",24.565
"2008-01-15",24.5654
"2008-01-16",24.743
"2008-01-17",24.0284
"2008-01-18",23.5424
"2008-01-19",23.4556
"2008-01-20",24.8007
"2008-01-21",25.1526
"2008-01-22",25.2232
"2008-01-23",24.6589
"2008-01-24",25.2868
"2008-01-25",25.9466
"2008-01-26",26.4099
"2008-01-27",26.5925
"2008-01-28",25.8928
"2008-01-29",26.0804
"2008-01-30",25.8168
"2008-01-31",26.3468
"2008-02-01",26.4608
"2008-02-02",26.3141
"2008-02-03",25.8774
"2008-02-04",25.6058
"2008-02-05",26.3423
"2008-02-06",25.4235
"2008-02-07",24.4311
"2008-02-08",25.3726
"2008-02-09",26.2553
"2008-02-10",26.5931
"2008-02-11",26.5269
"2008-02-12",25.6286
"2008-02-13",25.6106
"2008-02-14",25.769
"2008-02-15",25.7054
"2008-02-16",25.8045
"2008-02-17",25.387
"2008-02-18",24.732
"2008-02-19",25.0398
"2008-02-20",25.8437
"2008-02-21",25.9248
"2008-02-22",25.7149
"2008-02-23",24.2779
"2008-02-24",23.4042
"2008-02-25",23.5413
"2008-02-26",25.0282
"2008-02-27",24.717
"2008-02-28",25.0703
"2008-02-29",24.5514
"2008-03-01",26.0279
"2008-03-02",26.2943
"2008-03-03",25.9358
"2008-03-04",25.3159
"2008-03-05",25.6225
"2008-03-06",24.6694
"2008-03-07",25.3892
"2008-03-08",25.9569
"2008-03-09",24.5636
"2008-03-10",24.4652
"2008-03-11",24.7189
"2008-03-12",25.0727
"2008-03-13",26.0911
"2008-03-14",25.6434
"2008-03-15",25.3308
"2008-03-16",24.5064
"2008-03-17",25.145
"2008-03-18",25.232
"2008-03-19",25.6171
"2008-03-20",26.2122
"2008-03-21",26.5378
"2008-03-22",27.183
"2008-03-23",27.6956
"2008-03-24",26.2826
"2008-03-25",27.3492
"2008-03-26",27.709
"2008-03-27",27.3278
"2008-03-28",27.2009
"2008-03-29",27.826
"2008-03-30",27.2087
"2008-03-31",27.039
"2008-04-01",27.3277
"2008-04-02",26.1009
"2008-04-03",27.2389
"2008-04-04",27.5042
"2008-04-05",27.3369
"2008-04-06",26.3323
"2008-04-07",26.1399
"2008-04-08",25.5317
"2008-04-09",25.4031
"2008-04-10",25.1063
"2008-04-11",26.6804
"2008-04-12",26.2846
"2008-04-13",27.5952
"2008-04-14",27.4963
"2008-04-15",27.1019
"2008-04-16",27.2206
"2008-04-17",27.4952
"2008-04-18",28.2681
"2008-04-19",28.4255
"2008-04-20",28.1769
"2008-04-21",29.0547
"2008-04-22",29.2025
"2008-04-23",29.2248
"2008-04-24",27.7734
"2008-04-25",26.6785
"2008-04-26",26.6543
"2008-04-27",26.8646
"2008-04-28",26.7462
"2008-04-29",28.2605
"2008-04-30",29.2311
"2008-05-01",29.0542
"2008-05-02",28.9189
"2008-05-03",28.7081
"2008-05-04",28.8342
"2008-05-05",28.4513
"2008-05-06",28.6295
"2008-05-07",28.2192
"2008-05-08",28.6316
"2008-05-09",27.6965
"2008-05-10",28.7302
"2008-05-11",29.1441
"2008-05-12",28.7874
"2008-05-13",28.6955
"2008-05-14",28.6715
"2008-05-15",28.8794
"2008-05-16",29.1514
"2008-05-17",29.4148
"2008-05-18",29.6212
"2008-05-19",29.3757
"2008-05-20",29.1956
"2008-05-21",29.3829
"2008-05-22",29.3954
"2008-05-23",29.1932
"2008-05-24",29.1242
"2008-05-25",28.9847
"2008-05-26",28.9375
"2008-05-27",28.4993
"2008-05-28",29.3878
"2008-05-29",28.5435
"2008-05-30",28.7359
"2008-05-31",28.5747
"2008-06-01",27.7918
"2008-06-02",28.0948
"2008-06-03",27.6811
"2008-06-04",29.0355
"2008-06-05",29.1877
"2008-06-06",29.412
"2008-06-07",28.4391
"2008-06-08",28.6446
"2008-06-09",28.2374
"2008-06-10",28.9503
"2008-06-11",28.8361
"2008-06-12",28.66
"2008-06-13",29.2955
"2008-06-14",28.8268
"2008-06-15",29.3001
"2008-06-16",29.3583
"2008-06-17",29.1565
"2008-06-18",28.5756
"2008-06-19",29.1825
"2008-06-20",29.4998
"2008-06-21",28.5571
"2008-06-22",28.5861
"2008-06-23",28.3628
"2008-06-24",28.5393
"2008-06-25",28.0513
"2008-06-26",28.76
"2008-06-27",29.2173
"2008-06-28",28.9023
"2008-06-29",29.1826
"2008-06-30",29.4727
"2008-07-01",27.8516
"2008-07-02",30.295
"2008-07-03",29.5861
"2008-07-04",29.6249
"2008-07-05",29.5777
"2008-07-06",29.114
"2008-07-07",28.8395
"2008-07-08",29.2762
"2008-07-09",29.4165
"2008-07-10",29.1493
"2008-07-11",28.4296
"2008-07-12",29.0044
"2008-07-13",29.0984
"2008-07-14",28.9505
"2008-07-15",27.3304
"2008-07-16",28.1888
"2008-07-17",28.4811
"2008-07-18",28.7044
"2008-07-19",27.3595
"2008-07-20",28.37
"2008-07-21",28.2645
"2008-07-22",28.0913
"2008-07-23",27.4265
"2008-07-24",27.9535
"2008-07-25",28.4636
"2008-07-26",28.5225
"2008-07-27",27.8129
"2008-07-28",26.8521
"2008-07-29",28.1896
"2008-07-30",28.3132
"2008-07-31",28.4436
"2008-08-01",28.6134
"2008-08-02",28.5568
"2008-08-03",28.7189
"2008-08-04",28.967
"2008-08-05",28.673
"2008-08-06",28.8367
"2008-08-07",28.7608
"2008-08-08",28.4882
"2008-08-09",28.2512
"2008-08-10",28.8142
"2008-08-11",29.0467
"2008-08-12",28.9348
"2008-08-13",29.196
"2008-08-14",28.3757
"2008-08-15",28.7389
"2008-08-16",28.9203
"2008-08-17",28.5193
"2008-08-18",29.1134
"2008-08-19",29.591
"2008-08-20",29.3864
"2008-08-21",28.3774
"2008-08-22",28.992
"2008-08-23",28.7033
"2008-08-24",28.0608
"2008-08-25",27.8445
"2008-08-26",26.3092
"2008-08-27",26.7128
"2008-08-28",26.9891
"2008-08-29",26.7518
"2008-08-30",26.1015
"2008-08-31",25.5599
"2008-09-01",27.3417
"2008-09-02",28.0937
"2008-09-03",28.4152
"2008-09-04",27.3397
"2008-09-05",26.7298
"2008-09-06",26.6386
"2008-09-07",26.4188
"2008-09-08",27.0686
"2008-09-09",28.2848
"2008-09-10",28.9573
"2008-09-11",27.8723
"2008-09-12",28.4154
"2008-09-13",28.8521
"2008-09-14",28.9615
"2008-09-15",28.3534
"2008-09-16",28.9434
"2008-09-17",29.4994
"2008-09-18",29.4832
"2008-09-19",28.9489
"2008-09-20",29.0153
"2008-09-21",29.1764
"2008-09-22",29.3205
"2008-09-23",29.1111
"2008-09-24",29.0787
"2008-09-25",29.2277
"2008-09-26",29.3051
"2008-09-27",29.6619
"2008-09-28",29.3412
"2008-09-29",28.6816
"2008-09-30",29.2677
"2008-10-01",29.092
"2008-10-02",29.0518
"2008-10-03",29.7285
"2008-10-04",28.2497
"2008-10-05",28.1531
"2008-10-06",28.9207
"2008-10-07",27.7909
"2008-10-08",27.6538
"2008-10-09",28.5646
"2008-10-10",28.4422
"2008-10-11",26.9984
"2008-10-12",25.9908
"2008-10-13",25.9113
"2008-10-14",26.1355
"2008-10-15",26.7278
"2008-10-16",26.4998
"2008-10-17",26.3125
"2008-10-18",26.4659
"2008-10-19",26.4759
"2008-10-20",25.8883
"2008-10-21",25.4568
"2008-10-22",26.3862
"2008-10-23",26.9751
"2008-10-24",25.7042
"2008-10-25",26.9655
"2008-10-26",26.9138
"2008-10-27",27.2705
"2008-10-28",27.2795
"2008-10-29",26.886
"2008-10-30",26.6764
"2008-10-31",25.9782
"2008-11-01",26.1834
"2008-11-02",26.2222
"2008-11-03",26.8629
"2008-11-04",26.6122
"2008-11-05",26.4673
"2008-11-06",26.9125
"2008-11-07",27.3341
"2008-11-08",26.8559
"2008-11-09",26.9418
"2008-11-10",25.2542
"2008-11-11",24.7971
"2008-11-12",25.1458
"2008-11-13",25.3515
"2008-11-14",26.2702
"2008-11-15",26.8503
"2008-11-16",26.9958
"2008-11-17",27.1027
"2008-11-18",26.4412
"2008-11-19",26.2519
"2008-11-20",25.0247
"2008-11-21",25.018
"2008-11-22",25.0853
"2008-11-23",25.0302
"2008-11-24",24.6765
"2008-11-25",25.1294
"2008-11-26",25.5025
"2008-11-27",26.6424
"2008-11-28",27.1771
"2008-11-29",25.3657
"2008-11-30",25.7638
"2008-12-01",26.4573
"2008-12-02",25.3017
"2008-12-03",25.683
"2008-12-04",26.0669
"2008-12-05",25.4016
"2008-12-06",23.7231
"2008-12-07",24.5385
"2008-12-08",25.2731
"2008-12-09",25.8898
"2008-12-10",25.853
"2008-12-11",24.7362
"2008-12-12",25.2554
"2008-12-13",25.2529
"2008-12-14",25.2741
"2008-12-15",24.9218
"2008-12-16",24.1095
"2008-12-17",24.1217
"2008-12-18",24.2817
"2008-12-19",25.1226
"2008-12-20",25.3158
"2008-12-21",24.8579
"2008-12-22",24.2769
"2008-12-23",24.7919
"2008-12-24",24.8742
"2008-12-25",25.3929
"2008-12-26",25.4444
"2008-12-27",24.5841
"2008-12-28",24.2914
"2008-12-29",24.3281
"2008-12-30",23.9701
"2008-12-31",23.7559
"2009-01-01",24.4184
"2009-01-02",24.2794
"2009-01-03",24.5015
"2009-01-04",24.867
"2009-01-05",25.4695
"2009-01-06",23.9099
"2009-01-07",25.2713
"2009-01-08",25.2571
"2009-01-09",23.4581
"2009-01-10",24.2814
"2009-01-11",24.7115
"2009-01-12",24.9617
"2009-01-13",24.443
"2009-01-14",23.682
"2009-01-15",24.3411
"2009-01-16",24.4775
"2009-01-17",24.4123
"2009-01-18",24.8678
"2009-01-19",24.6974
"2009-01-20",24.3951
"2009-01-21",24.5814
"2009-01-22",24.0946
"2009-01-23",23.9807
"2009-01-24",24.1363
"2009-01-25",23.9452
"2009-01-26",24.8904
"2009-01-27",25.6056
"2009-01-28",25.714
"2009-01-29",25.0973
"2009-01-30",24.2566
"2009-01-31",24.164
"2009-02-01",24.1104
"2009-02-02",23.775
"2009-02-03",24.1979
"2009-02-04",24.0856
"2009-02-05",23.9499
"2009-02-06",24.1614
"2009-02-07",24.4491
"2009-02-08",24.0761
"2009-02-09",23.8916
"2009-02-10",24.3199
"2009-02-11",25.4018
"2009-02-12",24.6729
"2009-02-13",23.3667
"2009-02-14",23.8458
"2009-02-15",24.395
"2009-02-16",24.2458
"2009-02-17",24.6103
"2009-02-18",24.6988
"2009-02-19",24.6
"2009-02-20",26.1054
"2009-02-21",26.3128
"2009-02-22",26.0521
"2009-02-23",26.0612
"2009-02-24",27.1555
"2009-02-25",27.3982
"2009-02-26",27.1822
"2009-02-27",27.0723
"2009-02-28",26.7285
"2009-03-01",26.0576
"2009-03-02",25.1465
"2009-03-03",25.2353
"2009-03-04",26.59
"2009-03-05",27.1348
"2009-03-06",27.5808
"2009-03-07",26.8579
"2009-03-08",26.2067
"2009-03-09",25.1999
"2009-03-10",25.7219
"2009-03-11",26.1706
"2009-03-12",26.4939
"2009-03-13",26.2575
"2009-03-14",25.9848
"2009-03-15",26.6945
"2009-03-16",27.1338
"2009-03-17",27.2095
"2009-03-18",27.3839
"2009-03-19",27.7728
"2009-03-20",28.1466
"2009-03-21",27.8907
"2009-03-22",28.0393
"2009-03-23",27.9004
"2009-03-24",26.3669
"2009-03-25",26.8611
"2009-03-26",27.1049
"2009-03-27",27.3117
"2009-03-28",27.5899
"2009-03-29",27.313
"2009-03-30",27.1759
"2009-03-31",28.3526
"2009-04-01",28.1302
"2009-04-02",27.5901
"2009-04-03",26.8608
"2009-04-04",26.9194
"2009-04-05",27.3385
"2009-04-06",28.0868
"2009-04-07",28.3694
"2009-04-08",26.9366
"2009-04-09",26.4651
"2009-04-10",25.4723
"2009-04-11",26.054
"2009-04-12",26.6519
"2009-04-13",26.8636
"2009-04-14",28.648
"2009-04-15",29.2214
"2009-04-16",29.0717
"2009-04-17",29.5842
"2009-04-18",29.4555
"2009-04-19",29.3194
"2009-04-20",28.8204
"2009-04-21",28.7624
"2009-04-22",28.8946
"2009-04-23",29.2675
"2009-04-24",29.3502
"2009-04-25",29.7815
"2009-04-26",29.1932
"2009-04-27",28.8175
"2009-04-28",29.291
"2009-04-29",28.7723
"2009-04-30",28.9522
"2009-05-01",29.3344
"2009-05-02",30.1787
"2009-05-03",30.4004
"2009-05-04",30.244
"2009-05-05",29.6597
"2009-05-06",29.4389
"2009-05-07",30.3437
"2009-05-08",29.6185
"2009-05-09",29.8429
"2009-05-10",29.9814
"2009-05-11",30.3847
"2009-05-12",30.4426
"2009-05-13",29.9134
"2009-05-14",30.2485
"2009-05-15",30.1358
"2009-05-16",30.2819
"2009-05-17",29.2039
"2009-05-18",29.3256
"2009-05-19",28.3594
"2009-05-20",27.5302
"2009-05-21",28.2477
"2009-05-22",28.6553
"2009-05-23",28.3908
"2009-05-24",28.5352
"2009-05-25",29.7111
"2009-05-26",28.5102
"2009-05-27",29.3795
"2009-05-28",29.5503
"2009-05-29",29.9143
"2009-05-30",29.3389
"2009-05-31",29.0164
"2009-06-01",29.4163
"2009-06-02",29.8208
"2009-06-03",29.7739
"2009-06-04",29.5111
"2009-06-05",28.5673
