,"(deg C) Mean Temperature (ERA5) at Matara, 2007-01-01 to 2025-12-31"
"2008-03-14",25.1753
"2008-03-15",24.3764
"2008-03-16",24.3727
"2008-03-17",24.3585
"2008-03-18",24.2917
"2008-03-19",24.8303
"2008-03-20",24.8523
"2008-03-21",25.5016
"2008-03-22",26.3008
"2008-03-23",26.6571
"2008-03-24",25.602
"2008-03-25",26.0518
"2008-03-26",26.1405
"2008-03-27",25.997
"2008-03-28",25.7574
"2008-03-29",25.8754
"2008-03-30",26.0586
"2008-03-31",25.6692
"2008-04-01",26.0128
"2008-04-02",24.8748
"2008-04-03",25.3834
"2008-04-04",25.5798
"2008-04-05",25.7023
"2008-04-06",25.0491
"2008-04-07",25.0885
"2008-04-08",24.7926
"2008-04-09",24.8963
"2008-04-10",24.8322
"2008-04-11",25.5574
"2008-04-12",24.8219
"2008-04-13",25.8715
"2008-04-14",25.7383
"2008-04-15",25.6012
"2008-04-16",25.5338
"2008-04-17",25.6388
"2008-04-18",25.981
"2008-04-19",26.0659
"2008-04-20",25.9797
"2008-04-21",27.0079
"2008-04-22",26.5275
"2008-04-23",26.8861
"2008-04-24",25.8009
"2008-04-25",24.8147
"2008-04-26",25.41
"2008-04-27",25.2234
"2008-04-28",23.8372
"2008-04-29",26.473
"2008-04-30",26.9163
"2008-05-01",26.6339
"2008-05-02",26.5209
"2008-05-03",26.5928
"2008-05-04",26.5441
"2008-05-05",26.2205
"2008-05-06",25.8632
"2008-05-07",25.8002
"2008-05-08",25.9022
"2008-05-09",25.1612
"2008-05-10",26.5748
"2008-05-11",26.9888
"2008-05-12",26.0976
"2008-05-13",26.3112
"2008-05-14",25.8878
"2008-05-15",25.9721
"2008-05-16",26.445
"2008-05-17",26.3952
"2008-05-18",26.8544
"2008-05-19",26.6745
"2008-05-20",26.5707
"2008-05-21",26.9326
"2008-05-22",26.3322
"2008-05-23",26.2136
"2008-05-24",26.2461
"2008-05-25",26.2576
"2008-05-26",26.289
"2008-05-27",25.2118
"2008-05-28",25.9864
"2008-05-29",25.2116
"2008-05-30",25.5516
"2008-05-31",25.2437
"2008-06-01",24.3513
"2008-06-02",24.3863
"2008-06-03",24.2643
"2008-06-04",25.8931
"2008-06-05",25.8162
"2008-06-06",26.377
"2008-06-07",25.5664
"2008-06-08",25.8509
"2008-06-09",25.5096
"2008-06-10",26.4701
"2008-06-11",26.1226
"2008-06-12",25.9307
"2008-06-13",26.272
"2008-06-14",26.3442
"2008-06-15",25.9676
"2008-06-16",26.5
"2008-06-17",26.2123
"2008-06-18",25.4323
"2008-06-19",26.0666
"2008-06-20",26.1016
"2008-06-21",25.46
"2008-06-22",25.1131
"2008-06-23",25.0589
"2008-06-24",25.7148
"2008-06-25",25.6562
"2008-06-26",25.9056
"2008-06-27",26.3705
"2008-06-28",26.1305
"2008-06-29",25.7275
"2008-06-30",25.9269
"2008-07-01",24.4903
"2008-07-02",26.2782
"2008-07-03",26.1006
"2008-07-04",26.0454
"2008-07-05",26.163
"2008-07-06",25.6407
"2008-07-07",25.4269
"2008-07-08",25.8319
"2008-07-09",26.2251
"2008-07-10",25.3145
"2008-07-11",24.7333
"2008-07-12",25.5373
"2008-07-13",25.48
"2008-07-14",25.1107
"2008-07-15",23.9427
"2008-07-16",24.9522
