,"(deg C) Mean Temperature (ERA5) at Jaffna, 2007-01-01 to 2025-12-31"
"2009-04-09",28.1425
"2009-04-10",27.1494
"2009-04-11",26.7176
"2009-04-12",28.1761
"2009-04-13",29.3704
"2009-04-14",29.4411
"2009-04-15",29.7478
"2009-04-16",29.6688
"2009-04-17",29.639
"2009-04-18",29.7361
"2009-04-19",29.5507
"2009-04-20",29.5216
"2009-04-21",29.1899
"2009-04-22",29.1461
"2009-04-23",29.4013
"2009-04-24",29.334
"2009-04-25",29.4902
"2009-04-26",29.1923
"2009-04-27",28.9262
"2009-04-28",28.9187
"2009-04-29",29.0527
"2009-04-30",29.1895
"2009-05-01",29.2923
"2009-05-02",29.4875
"2009-05-03",29.2783
"2009-05-04",29.4931
"2009-05-05",29.3536
"2009-05-06",29.5711
"2009-05-07",29.6789
"2009-05-08",29.7396
"2009-05-09",29.9499
"2009-05-10",30.0467
"2009-05-11",29.9203
"2009-05-12",29.9418
"2009-05-13",29.9739
"2009-05-14",30.0128
"2009-05-15",29.972
"2009-05-16",29.5953
"2009-05-17",29.38
"2009-05-18",29.0615
"2009-05-19",28.7095
"2009-05-20",28.4163
"2009-05-21",29.1309
"2009-05-22",29.2598
"2009-05-23",29.1972
"2009-05-24",29.2501
"2009-05-25",29.2169
"2009-05-26",28.8455
"2009-05-27",28.7023
"2009-05-28",28.8753
"2009-05-29",29.0043
"2009-05-30",28.6373
"2009-05-31",28.354
"2009-06-01",28.6618
"2009-06-02",28.8675
"2009-06-03",29.008
"2009-06-04",28.8758
"2009-06-05",28.7364
"2009-06-06",28.7317
"2009-06-07",28.8077
"2009-06-08",28.6201
"2009-06-09",28.6116
"2009-06-10",28.6179
"2009-06-11",28.3932
"2009-06-12",28.2795
"2009-06-13",28.5466
"2009-06-14",28.6975
"2009-06-15",28.7771
"2009-06-16",28.6968
"2009-06-17",28.662
"2009-06-18",28.2895
"2009-06-19",28.4813
"2009-06-20",28.632
"2009-06-21",28.4803
"2009-06-22",28.1567
"2009-06-23",28.1276
"2009-06-24",28.0349
"2009-06-25",28.3547
"2009-06-26",28.4254
"2009-06-27",28.4211
"2009-06-28",28.5977
"2009-06-29",28.5828
"2009-06-30",28.7174
"2009-07-01",28.4885
"2009-07-02",28.9911
"2009-07-03",28.9664
"2009-07-04",28.8253
"2009-07-05",28.5366
"2009-07-06",28.4978
"2009-07-07",28.7391
"2009-07-08",28.9031
"2009-07-09",28.507
"2009-07-10",28.18
"2009-07-11",28.2851
"2009-07-12",28.5391
"2009-07-13",28.8386
"2009-07-14",28.6237
"2009-07-15",28.3428
"2009-07-16",28.1608
"2009-07-17",27.6993
"2009-07-18",27.9073
"2009-07-19",28.4214
"2009-07-20",28.5504
"2009-07-21",28.6288
"2009-07-22",28.3678
"2009-07-23",28.4518
"2009-07-24",28.6799
"2009-07-25",28.5717
"2009-07-26",28.3582
"2009-07-27",28.3596
"2009-07-28",28.0167
"2009-07-29",27.9774
"2009-07-30",27.9613
"2009-07-31",28.1033
"2009-08-01",28.1289
"2009-08-02",28.4115
"2009-08-03",28.7806
"2009-08-04",28.6758
"2009-08-05",28.805
"2009-08-06",28.8698
"2009-08-07",28.6197
"2009-08-08",28.2169
"2009-08-09",28.6018
"2009-08-10",28.6794
"2009-08-11",28.887
"2009-08-12",28.778
"2009-08-13",28.8971
"2009-08-14",28.7995
"2009-08-15",27.7609
"2009-08-16",27.8845
"2009-08-17",27.1223
"2009-08-18",27.6749
"2009-08-19",27.852
"2009-08-20",27.1389
"2009-08-21",27.7015
"2009-08-22",27.9413
"2009-08-23",28.0991
"2009-08-24",28.444
"2009-08-25",28.4936
"2009-08-26",28.6268
"2009-08-27",28.6619
"2009-08-28",28.6216
"2009-08-29",28.6536
"2009-08-30",28.7866
"2009-08-31",28.257
"2009-09-01",27.8716
"2009-09-02",28.0366
"2009-09-03",28.3719
"2009-09-04",28.6009
"2009-09-05",28.581
"2009-09-06",28.5265
"2009-09-07",28.7667
"2009-09-08",28.5654
"2009-09-09",28.4065
"2009-09-10",28.4461
"2009-09-11",28.5879
"2009-09-12",28.5753
"2009-09-13",28.6981
"2009-09-14",28.5016
"2009-09-15",28.4765
"2009-09-16",28.2087
"2009-09-17",28.0684
"2009-09-18",27.8359
"2009-09-19",27.8696
"2009-09-20",27.9197
"2009-09-21",27.8696
"2009-09-22",27.7402
"2009-09-23",27.9581
"2009-09-24",28.5483
"2009-09-25",28.8694
"2009-09-26",28.8282
"2009-09-27",28.4758
"2009-09-28",28.2765
"2009-09-29",28.4626
"2009-09-30",28.7556
"2009-10-01",28.615
"2009-10-02",28.285
