,"(deg C) Mean Temperature (ERA5) at Kandy, 2007-01-01 to 2025-12-31"
"2008-03-26",24.6742
"2008-03-27",24.8783
"2008-03-28",24.7917
"2008-03-29",24.6702
"2008-03-30",24.5872
"2008-03-31",24.3352
"2008-04-01",24.6085
"2008-04-02",23.2937
"2008-04-03",24.2933
"2008-04-04",24.3844
"2008-04-05",24.6365
"2008-04-06",23.9899
"2008-04-07",23.5909
"2008-04-08",23.3237
"2008-04-09",23.327
"2008-04-10",23.0279
"2008-04-11",24.1876
"2008-04-12",23.3148
"2008-04-13",24.515
"2008-04-14",24.5663
"2008-04-15",24.3216
"2008-04-16",24.4303
"2008-04-17",24.3473
"2008-04-18",25.0096
"2008-04-19",25.1235
"2008-04-20",24.4543
"2008-04-21",25.3716
"2008-04-22",25.2386
"2008-04-23",25.4806
"2008-04-24",24.5719
"2008-04-25",23.5619
"2008-04-26",24.0349
"2008-04-27",24.2116
"2008-04-28",23.1886
"2008-04-29",25.2304
"2008-04-30",26.1121
"2008-05-01",25.9144
"2008-05-02",25.7452
"2008-05-03",25.6706
"2008-05-04",25.7822
"2008-05-05",25.3878
"2008-05-06",25.5248
"2008-05-07",24.9929
"2008-05-08",25.356
"2008-05-09",24.0436
"2008-05-10",25.182
"2008-05-11",25.9023
"2008-05-12",25.4698
"2008-05-13",25.4157
"2008-05-14",25.2966
"2008-05-15",25.4371
"2008-05-16",25.6718
"2008-05-17",25.6907
"2008-05-18",25.9896
"2008-05-19",25.82
"2008-05-20",25.6724
"2008-05-21",25.7605
"2008-05-22",25.8533
"2008-05-23",25.6246
"2008-05-24",25.4272
"2008-05-25",25.4513
"2008-05-26",25.3756
"2008-05-27",24.7337
"2008-05-28",25.8095
"2008-05-29",25.0572
"2008-05-30",25.0168
"2008-05-31",24.6701
"2008-06-01",23.8749
"2008-06-02",24.1793
"2008-06-03",23.4999
"2008-06-04",24.755
"2008-06-05",25.1525
"2008-06-06",25.2639
"2008-06-07",24.8222
"2008-06-08",25.201
"2008-06-09",24.5207
"2008-06-10",25.1983
"2008-06-11",25.1371
"2008-06-12",24.7915
"2008-06-13",25.2406
"2008-06-14",24.7713
"2008-06-15",25.0831
"2008-06-16",25.3994
"2008-06-17",25.3631
"2008-06-18",24.7758
"2008-06-19",25.2758
"2008-06-20",25.6085
"2008-06-21",24.8392
"2008-06-22",24.5528
"2008-06-23",24.4111
"2008-06-24",24.5416
"2008-06-25",24.0097
"2008-06-26",24.4755
"2008-06-27",25.0839
"2008-06-28",25.0094
"2008-06-29",25.2476
"2008-06-30",25.3723
"2008-07-01",23.0454
"2008-07-02",25.5277
"2008-07-03",25.5714
"2008-07-04",25.7074
"2008-07-05",25.6906
"2008-07-06",25.4067
"2008-07-07",24.6117
"2008-07-08",24.8819
"2008-07-09",25.322
"2008-07-10",24.9723
"2008-07-11",24.2404
"2008-07-12",24.7125
"2008-07-13",24.8806
"2008-07-14",24.7472
"2008-07-15",23.0289
"2008-07-16",24.131
"2008-07-17",24.0365
"2008-07-18",24.1103
"2008-07-19",23.1705
"2008-07-20",24.2956
"2008-07-21",24.4818
"2008-07-22",24.3357
"2008-07-23",23.1265
"2008-07-24",23.6345
"2008-07-25",24.1016
"2008-07-26",24.0162
"2008-07-27",23.9207
"2008-07-28",23.2577
"2008-07-29",24.255
"2008-07-30",24.2455
"2008-07-31",24.2822
"2008-08-01",24.3574
"2008-08-02",24.7364
"2008-08-03",24.5753
"2008-08-04",24.8436
"2008-08-05",24.4192
"2008-08-06",24.5877
"2008-08-07",24.5808
"2008-08-08",24.0986
"2008-08-09",24.4006
"2008-08-10",24.9637
"2008-08-11",25.2115
"2008-08-12",24.9047
"2008-08-13",24.9615
"2008-08-14",24.4951
"2008-08-15",24.6461
"2008-08-16",24.5496
"2008-08-17",24.3192
"2008-08-18",24.844
"2008-08-19",25.2369
"2008-08-20",25.2094
"2008-08-21",24.1017
"2008-08-22",24.8277
"2008-08-23",24.3972
"2008-08-24",24.363
"2008-08-25",23.9096
"2008-08-26",23.1321
"2008-08-27",23.6002
"2008-08-28",23.7554
"2008-08-29",23.236
"2008-08-30",22.5641
"2008-08-31",23.0674
"2008-09-01",23.8617
"2008-09-02",24.3889
"2008-09-03",25.0671
"2008-09-04",23.5964
"2008-09-05",23.4485
"2008-09-06",23.0815
"2008-09-07",22.9506
"2008-09-08",23.6354
"2008-09-09",24.5921
"2008-09-10",24.816
"2008-09-11",23.7375
"2008-09-12",24.4512
"2008-09-13",24.8528
"2008-09-14",24.9335
"2008-09-15",24.4156
"2008-09-16",24.9062
"2008-09-17",25.274
"2008-09-18",25.0254
"2008-09-19",24.6881
"2008-09-20",25.0364
"2008-09-21",25.1635
"2008-09-22",25.4013
"2008-09-23",25.3765
"2008-09-24",25.1804
"2008-09-25",25.2752
"2008-09-26",25.3336
"2008-09-27",25.4014
"2008-09-28",25.0345
"2008-09-29",24.5401
"2008-09-30",25.1308
"2008-10-01",24.8076
"2008-10-02",24.8186
"2008-10-03",25.5433
"2008-10-04",24.9938
"2008-10-05",25.1595
"2008-10-06",24.9161
"2008-10-07",23.9254
"2008-10-08",23.454
"2008-10-09",24.3021
"2008-10-10",25.1014
"2008-10-11",24.0279
"2008-10-12",23.484
"2008-10-13",23.7295
"2008-10-14",23.7082
"2008-10-15",24.4466
"2008-10-16",23.8456
"2008-10-17",23.9641
"2008-10-18",23.7207
"2008-10-19",24.1497
"2008-10-20",23.5328
"2008-10-21",22.8153
"2008-10-22",23.3382
"2008-10-23",24.1177
"2008-10-24",22.6432
"2008-10-25",23.826
"2008-10-26",23.6573
"2008-10-27",23.8562
"2008-10-28",24.1066
"2008-10-29",24.0227
"2008-10-30",23.9683
"2008-10-31",23.495
"2008-11-01",23.3822
"2008-11-02",23.5571
"2008-11-03",23.8689
"2008-11-04",24.1958
"2008-11-05",24.0138
"2008-11-06",24.5021
"2008-11-07",25.4188
"2008-11-08",24.8251
"2008-11-09",24.3649
"2008-11-10",23.5154
"2008-11-11",23.1593
"2008-11-12",23.3436
"2008-11-13",23.6954
"2008-11-14",23.4504
"2008-11-15",23.7768
"2008-11-16",23.7014
"2008-11-17",24.2115
"2008-11-18",24.1844
"2008-11-19",24.638
"2008-11-20",23.2869
"2008-11-21",23.4882
"2008-11-22",23.2805
"2008-11-23",23.0821
"2008-11-24",23.0277
"2008-11-25",22.6574
"2008-11-26",23.5955
"2008-11-27",24.1068
"2008-11-28",24.8853
"2008-11-29",22.848
"2008-11-30",23.8116
"2008-12-01",24.3037
"2008-12-02",23.7029
