,"(mm) Precipitation (CHIRPS) at Puttalam, 2007-01-01 to 2025-12-31"
"2008-08-04",0.635
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0
"2008-08-08",1.2733
"2008-08-09",1.785
"2008-08-10",0.1529
"2008-08-11",0.0811
"2008-08-12",0.0142
"2008-08-13",0.0868
"2008-08-14",0.9896
"2008-08-15",2.1279
"2008-08-16",0.9961
"2008-08-17",1.1373
"2008-08-18",0.3081
"2008-08-19",0.2404
"2008-08-20",0.3298
"2008-08-21",0.0005
"2008-08-22",0.0218
"2008-08-23",0.3453
"2008-08-24",3.0223
"2008-08-25",4.9069
"2008-08-26",8.6439
"2008-08-27",9.7128
"2008-08-28",3.7989
"2008-08-29",2.1521
"2008-08-30",6.3037
"2008-08-31",3.3853
"2008-09-01",0
"2008-09-02",0.3564
"2008-09-03",0.9034
"2008-09-04",1.3047
"2008-09-05",1.0364
"2008-09-06",6.344
"2008-09-07",4.7343
"2008-09-08",0.3062
"2008-09-09",0
"2008-09-10",0
"2008-09-11",0.2133
"2008-09-12",0.685
"2008-09-13",0
"2008-09-14",0.0011
"2008-09-15",0.1281
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0
"2008-09-20",0
"2008-09-21",0.029
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0.0025
"2008-09-25",0
"2008-09-26",0.8579
"2008-09-27",1.7923
"2008-09-28",4.4557
"2008-09-29",0.2218
"2008-09-30",0
"2008-10-01",0
"2008-10-02",0
"2008-10-03",0
"2008-10-04",18.2995
"2008-10-05",6.0216
"2008-10-06",3.1964
"2008-10-07",10.1348
"2008-10-08",1.8798
"2008-10-09",3.9655
"2008-10-10",2.14
"2008-10-11",11.8023
"2008-10-12",14.6719
"2008-10-13",12.0371
"2008-10-14",8.5277
"2008-10-15",16.9819
"2008-10-16",14.4226
"2008-10-17",5.0678
"2008-10-18",13.8923
"2008-10-19",18.2866
"2008-10-20",11.261
"2008-10-21",28.5061
"2008-10-22",21.1371
"2008-10-23",8.892
"2008-10-24",22.8187
"2008-10-25",23.2433
"2008-10-26",3.2527
"2008-10-27",0.0414
