,"(mm) Precipitation (CHIRPS) at Kegalle, 2007-01-01 to 2025-12-31"
"2008-03-22",8.2247
"2008-03-23",1.2432
"2008-03-24",38.7444
"2008-03-25",0
"2008-03-26",4.0145
"2008-03-27",15.3205
"2008-03-28",17.0517
"2008-03-29",15.8952
"2008-03-30",16.5253
"2008-03-31",7.0977
"2008-04-01",3.0499
"2008-04-02",19.9633
"2008-04-03",1.4586
"2008-04-04",8.9127
"2008-04-05",22.6956
"2008-04-06",25.4384
"2008-04-07",30.8576
"2008-04-08",21.2685
"2008-04-09",25.4384
"2008-04-10",32.4412
"2008-04-11",20.4122
"2008-04-12",25.4709
"2008-04-13",17.261
"2008-04-14",17.9379
"2008-04-15",12.3442
"2008-04-16",14.2598
"2008-04-17",19.8935
"2008-04-18",18.183
"2008-04-19",20.2679
"2008-04-20",7.131
"2008-04-21",0
"2008-04-22",0.327
"2008-04-23",5.3616
"2008-04-24",15.8497
"2008-04-25",6.6823
"2008-04-26",11.2871
"2008-04-27",32.6343
"2008-04-28",60.9432
"2008-04-29",6.9956
"2008-04-30",0
"2008-05-01",4.8106
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",0
"2008-05-06",9.0388
"2008-05-07",2.6565
"2008-05-08",0.7236
"2008-05-09",4.3112
"2008-05-10",0
"2008-05-11",0
"2008-05-12",21.1646
"2008-05-13",5.7036
"2008-05-14",2.6398
"2008-05-15",0.02
"2008-05-16",0
"2008-05-17",0
"2008-05-18",0.7358
"2008-05-19",2.3667
"2008-05-20",1.8504
"2008-05-21",0
"2008-05-22",31.1328
"2008-05-23",5.5477
"2008-05-24",0
"2008-05-25",10.9707
"2008-05-26",8.4212
"2008-05-27",15.4652
"2008-05-28",9.3516
"2008-05-29",7.6948
"2008-05-30",11.3667
"2008-05-31",13.5245
"2008-06-01",42.8158
"2008-06-02",26.7279
"2008-06-03",3.6944
"2008-06-04",3.6229
"2008-06-05",0
"2008-06-06",9.6589
"2008-06-07",30.6424
"2008-06-08",32.8481
"2008-06-09",20.4046
"2008-06-10",0
"2008-06-11",0.4501
"2008-06-12",3.7513
"2008-06-13",0
"2008-06-14",13.9655
"2008-06-15",0
"2008-06-16",0.5696
"2008-06-17",0
"2008-06-18",0.5757
"2008-06-19",0
"2008-06-20",38.0233
"2008-06-21",14.4176
"2008-06-22",44.9199
"2008-06-23",7.0696
"2008-06-24",16.2965
"2008-06-25",8.488
"2008-06-26",0
"2008-06-27",0
"2008-06-28",0
"2008-06-29",0
"2008-06-30",0
"2008-07-01",13.023
"2008-07-02",0
"2008-07-03",6.3692
"2008-07-04",6.8368
"2008-07-05",0.8512
"2008-07-06",0
"2008-07-07",4.8089
"2008-07-08",2.8157
"2008-07-09",0
"2008-07-10",0
"2008-07-11",0
"2008-07-12",29.1189
"2008-07-13",0
"2008-07-14",11.2768
"2008-07-15",46.5271
"2008-07-16",0.6045
"2008-07-17",0.2939
"2008-07-18",65.3977
"2008-07-19",0
"2008-07-20",7.4283
"2008-07-21",44.5527
"2008-07-22",33.873
"2008-07-23",18.6932
"2008-07-24",0
"2008-07-25",0
"2008-07-26",5.8231
"2008-07-27",0
"2008-07-28",21.6227
"2008-07-29",0.6004
"2008-07-30",0.1008
"2008-07-31",0
"2008-08-01",6.9512
"2008-08-02",3.2268
"2008-08-03",2.4117
"2008-08-04",0
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0.3027
"2008-08-08",0.0032
"2008-08-09",5.7365
"2008-08-10",0.3463
"2008-08-11",1.1764
"2008-08-12",11.7763
"2008-08-13",0.9647
"2008-08-14",2.1568
"2008-08-15",0
"2008-08-16",6.7248
"2008-08-17",4.7067
"2008-08-18",4.2593
"2008-08-19",3.4617
"2008-08-20",1.4322
"2008-08-21",12.4088
"2008-08-22",0
"2008-08-23",12.3175
"2008-08-24",12.418
"2008-08-25",20.548
"2008-08-26",5.6757
"2008-08-27",15.7523
"2008-08-28",32.5327
"2008-08-29",6.106
"2008-08-30",5.1344
"2008-08-31",32.9885
"2008-09-01",0
"2008-09-02",0
"2008-09-03",6.9042
"2008-09-04",13.8173
"2008-09-05",20.0003
"2008-09-06",13.9629
"2008-09-07",24.82
"2008-09-08",1.5228
"2008-09-09",0
"2008-09-10",0
"2008-09-11",0.387
"2008-09-12",5.7638
"2008-09-13",0
"2008-09-14",0
"2008-09-15",0.3134
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",2.1608
"2008-09-20",0
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0.0475
"2008-09-25",6.4229
"2008-09-26",5.5127
"2008-09-27",0.7844
"2008-09-28",13.2221
"2008-09-29",0
"2008-09-30",0
"2008-10-01",6.9993
"2008-10-02",2.9996
"2008-10-03",6.8526
"2008-10-04",16.1626
"2008-10-05",19.5306
"2008-10-06",7.1404
"2008-10-07",11.3209
"2008-10-08",13.5416
"2008-10-09",4.9796
"2008-10-10",19.5861
"2008-10-11",12.0561
"2008-10-12",26.2555
"2008-10-13",11.4107
"2008-10-14",18.6725
"2008-10-15",17.5665
"2008-10-16",15.9432
"2008-10-17",15.7392
"2008-10-18",18.2337
"2008-10-19",29.3487
"2008-10-20",36.6729
"2008-10-21",26.6332
"2008-10-22",5.2873
"2008-10-23",1.6692
"2008-10-24",1.8968
"2008-10-25",31.1098
"2008-10-26",0.9811
"2008-10-27",0.4382
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0
"2008-11-08",11.644
"2008-11-09",5.3048
"2008-11-10",22.5791
"2008-11-11",14.3864
"2008-11-12",7.7714
"2008-11-13",3.7324
"2008-11-14",3.0974
"2008-11-15",0
"2008-11-16",0
"2008-11-17",2.7927
"2008-11-18",3.4323
"2008-11-19",4.5602
"2008-11-20",16.2165
"2008-11-21",9.8227
"2008-11-22",6.1597
"2008-11-23",23.804
"2008-11-24",28.5134
"2008-11-25",8.9658
"2008-11-26",2.5581
"2008-11-27",3.6492
"2008-11-28",26.8044
"2008-11-29",10.0203
"2008-11-30",9.5277
"2008-12-01",2.5761
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0
"2008-12-05",0.165
"2008-12-06",3.2322
"2008-12-07",9.8455
"2008-12-08",23.8386
"2008-12-09",6.5897
"2008-12-10",6.9506
"2008-12-11",11.2766
"2008-12-12",0
"2008-12-13",0.0379
"2008-12-14",0
"2008-12-15",10.9019
"2008-12-16",6.932
"2008-12-17",8.2221
"2008-12-18",9.3735
"2008-12-19",1.5675
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0.2956
"2008-12-23",0
"2008-12-24",3.1886
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",6.278
"2009-01-07",0
"2009-01-08",2.4952
"2009-01-09",19.5885
"2009-01-10",3.9682
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0
"2009-01-22",0
"2009-01-23",0
"2009-01-24",0
"2009-01-25",7.3132
"2009-01-26",0.07
"2009-01-27",5.9981
"2009-01-28",3.9496
"2009-01-29",0.2757
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0
"2009-02-20",0
"2009-02-21",3.9269
"2009-02-22",4.5417
"2009-02-23",14.0738
"2009-02-24",4.2482
"2009-02-25",9.4855
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",8.1502
"2009-03-06",7.4807
